Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Product Category,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Variant Image,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,product.metafields.custom.color,product.metafields.custom.size,product.metafields.custom.dress_occasion,product.metafields.custom.dress_style,product.metafields.custom.skirt_length_type,product.metafields.custom.sleeve_length_type
aa222,ANDY ANAND COUTURE AA222,"<p>Indulge in the beauty of this exquisite chiffon dress, designed with an alluring off the shoulder neckline adorned with a delicate brooch detail. Embrace the flattering silhouette created by the wide waistband cinching your waist, complemented by a zipper closure on the bodice. The full-length A-line skirt gracefully flows from the natural waist, culminating in a captivating sweep train. Perfect for formal events, weddings, or any special occasion where you want to exude elegance and sophistication. Elevate your style with this enchanting dress that is sure to make you feel like a true fashion icon.</p>",Nova Vogue,Long Dress,"Wedding, Long",True,Apparel & Accessories > Clothing > Dresses,Color,IVORY,Size,4,AA222_IVORY_4,,shopify,4,deny,manual,449.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_1.png?v=1727407801,1,Nova Vogue CODE: AA222_IVORY_4,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_1.png?v=1727407801,ANDY ANAND COUTURE AA222,"<p>Indulge in the beauty of this exquisite chiffon dress, designed with an alluring off the shoulder neckline adorned with a delicate brooch detail. Embrace the flattering silhouette created by the wide waistband cinching your waist, complemented by a zipper closure on the bodice. The full-length A-",Apparel & Accessories > Clothing > Dresses,Female,Adult,Women Dresses,"Wedding, Long",new,False,ANDY ANAND COUTURE,Wedding,Wedding,Long,IVORY 4,IVORY,4,"""Wedding""; ""Wedding""; ""Long""","""Wedding""; ""Wedding""; ""Long""",Long,Wedding
aa222,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_2.png?v=1727407786,2,,,,,,,,,,,,,,,,,,,,,,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_3.png?v=1727407816,3,,,,,,,,,,,,,,,,,,,,,,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_4.png?v=1727407789,4,,,,,,,,,,,,,,,,,,,,,,
aa222,ANDY ANAND COUTURE AA222,"<p>Indulge in the beauty of this exquisite chiffon dress, designed with an alluring off the shoulder neckline adorned with a delicate brooch detail. Embrace the flattering silhouette created by the wide waistband cinching your waist, complemented by a zipper closure on the bodice. The full-length A-line skirt gracefully flows from the natural waist, culminating in a captivating sweep train. Perfect for formal events, weddings, or any special occasion where you want to exude elegance and sophistication. Elevate your style with this enchanting dress that is sure to make you feel like a true fashion icon.</p>",Nova Vogue,Long Dress,"Wedding, Long",True,Apparel & Accessories > Clothing > Dresses,Color,IVORY,Size,6,AA222_IVORY_6,,shopify,3,deny,manual,449.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_1.png?v=1727407801,1,Nova Vogue CODE: AA222_IVORY_6,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_1.png?v=1727407801,ANDY ANAND COUTURE AA222,"<p>Indulge in the beauty of this exquisite chiffon dress, designed with an alluring off the shoulder neckline adorned with a delicate brooch detail. Embrace the flattering silhouette created by the wide waistband cinching your waist, complemented by a zipper closure on the bodice. The full-length A-",Apparel & Accessories > Clothing > Dresses,Female,Adult,Women Dresses,"Wedding, Long",new,False,ANDY ANAND COUTURE,Wedding,Wedding,Long,IVORY 6,IVORY,6,"""Wedding""; ""Wedding""; ""Long""","""Wedding""; ""Wedding""; ""Long""",Long,Wedding
aa222,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_2.png?v=1727407786,2,,,,,,,,,,,,,,,,,,,,,,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_3.png?v=1727407816,3,,,,,,,,,,,,,,,,,,,,,,
aa222,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_4.png?v=1727407789,4,,,,,,,,,,,,,,,,,,,,,,
aa222,ANDY ANAND COUTURE AA222,"<p>Indulge in the beauty of this exquisite chiffon dress, designed with an alluring off the shoulder neckline adorned with a delicate brooch detail. Embrace the flattering silhouette created by the wide waistband cinching your waist, complemented by a zipper closure on the bodice. The full-length A-line skirt gracefully flows from the natural waist, culminating in a captivating sweep train. Perfect for formal events, weddings, or any special occasion where you want to exude elegance and sophistication. Elevate your style with this enchanting dress that is sure to make you feel like a true fashion icon.</p>",Nova Vogue,Long Dress,"Wedding, Long",True,Apparel & Accessories > Clothing > Dresses,Color,IVORY,Size,8,AA222_IVORY_8,,shopify,1,deny,manual,449.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_1.png?v=1727407801,1,Nova Vogue CODE: AA222_IVORY_8,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_1.png?v=1727407801,ANDY ANAND COUTURE AA222,"<p>Indulge in the beauty of this exquisite chiffon dress, designed with an alluring off the shoulder neckline adorned with a delicate brooch detail. Embrace the flattering silhouette created by the wide waistband cinching your waist, complemented by a zipper closure on the bodice. The full-length A-",Apparel & Accessories > Clothing > Dresses,Female,Adult,Women Dresses,"Wedding, Long",new,False,ANDY ANAND COUTURE,Wedding,Wedding,Long,IVORY 8,IVORY,8,"""Wedding""; ""Wedding""; ""Long""","""Wedding""; ""Wedding""; ""Long""",Long,Wedding
aa222,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA222_White-Ivory_2.png?v=1727407786,2,,,,,,,,,,,,,,,,,,,,,,
